@RELATION SimpleBotHROM
@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
@ATTRIBUTE river_actions {c,r,rr}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_class {high_card,one_pair,two_pairs,three_of_a_kind,straight,flush,full_house,four_of_a_kind,straight_flush}
@DATA
rr,c,r,r,K,5,6,5,Q,1,2,3,one_pair
rr,c,c,r,9,6,2,Q,4,2,2,0,high_card
c,r,c,c,8,J,9,8,A,2,2,0,two_pairs
c,c,c,r,T,T,J,K,9,1,2,0,two_pairs
c,c,c,c,5,6,6,K,A,2,3,3,one_pair
c,c,rr,rr,8,7,7,3,A,2,3,3,flush
c,r,rr,r,5,Q,9,J,9,2,2,0,straight
c,c,c,c,4,J,2,2,9,1,1,0,one_pair
c,c,c,c,2,6,8,5,8,1,2,0,one_pair
c,rr,c,c,A,8,J,A,6,2,22,0,two_pairs
c,r,r,c,7,K,A,3,J,1,2,0,one_pair
c,r,c,c,T,8,6,J,K,2,2,0,one_pair
c,c,c,c,K,T,4,J,6,1,2,3,high_card
c,rr,c,c,6,8,3,3,A,1,1,0,one_pair
c,r,r,c,A,Q,A,8,K,2,22,0,straight
c,c,r,c,2,A,J,7,8,1,2,0,one_pair
c,c,r,r,4,2,7,J,Q,3,3,3,one_pair
c,c,c,c,K,7,3,T,4,1,2,0,high_card
c,c,r,c,6,7,9,7,J,2,2,3,one_pair
c,c,c,c,J,4,4,A,6,1,2,3,one_pair
c,c,c,c,6,5,2,4,5,1,2,3,one_pair
c,c,c,c,Q,4,4,8,2,1,1,0,one_pair
r,r,c,c,3,6,Q,J,3,2,22,3,two_pairs
c,c,c,c,3,A,5,6,3,2,2,0,one_pair
c,r,r,r,9,Q,2,A,K,1,2,0,one_pair
c,c,c,c,K,9,3,9,3,2,22,3,two_pairs
c,c,c,c,A,7,6,9,A,2,3,3,one_pair
c,rr,c,c,Q,A,9,7,4,2,3,4,flush
c,c,c,c,9,9,A,4,3,2,22,3,one_pair
c,rr,c,c,7,T,2,8,J,1,2,0,one_pair
c,c,c,c,7,6,8,2,T,1,2,0,high_card
c,r,r,c,T,7,9,K,9,2,2,0,one_pair
c,c,rr,c,8,4,6,A,K,2,2,0,one_pair
rr,c,c,c,3,K,J,7,A,1,1,0,one_pair
c,c,rr,r,3,K,Q,6,T,2,3,4,flush
rr,r,r,c,A,6,6,5,6,2,3,3,flush
rr,r,rr,c,8,K,T,3,4,3,3,3,one_pair
rr,c,r,c,K,Q,6,T,7,2,22,0,one_pair
c,r,rr,c,K,3,7,2,9,3,3,3,one_pair
c,r,r,c,3,8,2,T,Q,2,3,3,one_pair
rr,r,rr,r,4,3,K,J,T,2,2,0,one_pair
c,c,c,c,J,7,4,3,8,2,2,0,high_card
c,rr,c,c,7,J,2,5,4,2,2,0,high_card
c,c,c,c,9,J,6,5,6,2,2,0,two_pairs
rr,r,c,c,8,6,J,8,4,1,2,3,two_pairs
c,r,c,c,9,T,4,T,7,2,2,0,one_pair
c,rr,r,c,T,5,J,2,4,1,1,0,two_pairs
c,r,r,c,6,T,J,6,J,2,2,3,two_pairs
c,c,r,c,7,8,K,A,2,2,22,0,high_card
c,r,rr,c,T,J,Q,2,J,1,2,0,two_pairs
c,r,c,rr,T,3,Q,3,9,2,2,0,two_pairs
c,r,r,c,T,3,2,3,4,1,2,0,one_pair
c,c,c,c,K,6,T,9,5,1,2,0,high_card
c,c,r,c,Q,6,J,3,5,2,2,3,high_card
c,rr,c,c,T,3,5,K,4,2,22,0,one_pair
c,r,r,c,7,J,5,5,Q,1,2,3,two_pairs
r,r,c,r,7,2,7,J,A,1,2,0,two_pairs
c,r,r,r,8,Q,8,K,6,2,2,3,two_pairs
c,c,r,c,3,3,T,2,5,1,2,0,one_pair
c,r,c,c,Q,3,J,T,3,2,3,3,two_pairs
c,c,r,c,3,4,4,5,3,2,2,0,two_pairs
c,c,c,c,8,Q,7,J,3,2,3,3,high_card
c,rr,r,c,4,6,7,8,K,2,2,0,three_of_a_kind
c,r,c,c,Q,2,6,K,Q,2,3,3,two_pairs
c,r,c,c,J,A,9,8,2,1,1,0,one_pair
c,c,c,c,A,6,3,4,8,3,4,4,high_card
c,c,c,c,7,3,3,K,Q,1,2,0,one_pair
c,r,rr,c,9,4,Q,7,J,1,2,0,one_pair
c,c,c,c,6,Q,Q,9,3,2,2,0,one_pair
c,r,c,c,3,7,8,2,5,1,2,0,high_card
c,r,r,c,3,3,Q,5,5,2,22,0,two_pairs
c,r,c,c,9,9,K,7,8,1,2,0,one_pair
rr,c,r,r,K,T,Q,J,5,2,22,3,flush
rr,c,c,c,3,2,3,8,6,2,22,0,one_pair
c,r,c,c,4,4,T,5,3,2,22,0,one_pair
c,c,c,c,5,3,A,7,T,2,22,3,high_card
c,c,c,c,A,2,T,8,2,2,22,3,one_pair
rr,r,c,c,8,6,T,Q,6,2,3,3,one_pair
c,c,c,c,7,Q,T,2,3,1,2,0,high_card
c,r,r,r,2,2,3,T,3,2,22,3,two_pairs
c,r,rr,r,T,K,5,4,6,2,22,3,three_of_a_kind
c,rr,c,r,T,7,4,K,2,1,2,0,one_pair
c,r,c,r,K,9,K,5,Q,1,2,0,two_pairs
c,c,c,c,7,K,9,5,T,2,2,3,high_card
c,r,c,c,7,8,4,2,3,1,1,0,one_pair
c,c,c,c,3,9,8,5,8,1,1,0,one_pair
c,r,c,c,T,A,T,Q,A,2,2,0,two_pairs
c,c,r,c,J,3,8,7,7,2,2,3,one_pair
c,c,c,c,T,9,8,7,4,1,1,0,high_card
c,c,c,c,T,6,3,8,K,2,2,0,high_card
c,c,c,c,5,8,9,T,A,3,3,3,high_card
c,c,c,c,Q,7,9,8,8,3,3,3,one_pair
c,c,c,c,3,5,4,5,K,1,1,0,one_pair
c,c,c,c,T,2,9,A,9,2,3,4,one_pair
