@RELATION SimpleBotHROM
@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
@ATTRIBUTE river_actions {c,r,rr}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_rank NUMERIC
@DATA
rr,c,r,r,5,5,6,Q,K,1,2,3,2156
rr,c,c,r,2,4,6,9,Q,2,2,0,1258
c,r,c,c,8,8,9,J,A,2,2,0,4444
c,c,c,r,9,T,T,J,K,1,2,0,4531
c,c,c,c,5,6,6,K,A,2,3,3,2376
c,c,rr,rr,3,7,7,8,A,2,3,3,5908
c,r,rr,r,5,9,9,J,Q,2,2,0,5861
c,c,c,c,2,2,4,9,J,1,1,0,1432
c,c,c,c,2,5,6,8,8,1,2,0,2776
c,rr,c,c,6,8,J,A,A,2,22,0,4926
c,r,r,c,3,7,J,K,A,1,2,0,2815
c,r,c,c,6,8,T,J,K,2,2,0,2092
c,c,c,c,4,6,T,J,K,1,2,3,656
c,rr,c,c,3,3,6,8,A,1,1,0,1714
c,r,r,c,8,Q,K,A,A,2,22,0,5852
c,c,r,c,2,7,8,J,A,1,2,0,1915
c,c,r,r,2,4,7,J,Q,3,3,3,2053
c,c,c,c,3,4,7,T,K,1,2,0,1266
c,c,r,c,6,7,7,9,J,2,2,3,2576
c,c,c,c,4,4,6,J,A,1,2,3,1917
c,c,c,c,2,4,5,5,6,1,2,3,2120
c,c,c,c,2,4,4,8,Q,1,1,0,1836
r,r,c,c,3,3,6,J,Q,2,22,3,4464
c,c,c,c,3,3,5,6,A,2,2,0,1705
c,r,r,r,2,9,Q,K,A,1,2,0,3036
c,c,c,c,3,3,9,9,K,2,22,3,4388
c,c,c,c,6,7,9,A,A,2,3,3,4080
c,rr,c,c,4,7,9,Q,A,2,3,4,6952
c,c,c,c,3,4,9,9,A,2,22,3,3013
c,rr,c,c,2,7,8,T,J,1,2,0,2459
c,c,c,c,2,6,7,8,T,1,2,0,225
c,r,r,c,7,9,9,T,K,2,2,0,3034
c,c,rr,c,4,6,8,K,A,2,2,0,2373
rr,c,c,c,3,7,J,K,A,1,1,0,4126
c,c,rr,r,3,6,T,Q,K,2,3,4,7130
rr,r,r,c,5,6,6,6,A,2,3,3,6921
rr,r,rr,c,3,4,8,T,K,3,3,3,3411
rr,c,r,c,6,7,T,Q,K,2,22,0,3421
c,r,rr,c,2,3,7,9,K,3,3,3,2737
c,r,r,c,2,3,8,T,Q,2,3,3,2760
rr,r,rr,r,3,4,T,J,K,2,2,0,4126
c,c,c,c,3,4,7,8,J,2,2,0,448
c,rr,c,c,2,4,5,7,J,2,2,0,978
c,c,c,c,5,6,6,9,J,2,2,0,4232
rr,r,c,c,4,6,8,8,J,1,2,3,4816
c,r,c,c,4,7,9,T,T,2,2,0,3200
c,rr,r,c,2,4,5,T,J,1,1,0,4624
c,r,r,c,6,6,T,J,J,2,2,3,4630
c,c,r,c,2,7,8,K,A,2,22,0,1146
c,r,rr,c,2,T,J,J,Q,1,2,0,4739
c,r,c,rr,3,3,9,T,Q,2,2,0,4727
c,r,r,c,2,3,3,4,T,1,2,0,1652
c,c,c,c,5,6,9,T,K,1,2,0,1232
c,c,r,c,3,5,6,J,Q,2,2,3,1273
c,rr,c,c,3,4,5,T,K,2,22,0,3196
c,r,r,c,5,5,7,J,Q,1,2,3,4576
r,r,c,r,2,7,7,J,A,1,2,0,4697
c,r,r,r,6,8,8,Q,K,2,2,3,4818
c,c,r,c,2,3,3,5,T,1,2,0,1714
c,r,c,c,3,3,T,J,Q,2,3,3,4387
c,c,r,c,3,3,4,4,5,2,2,0,4168
c,c,c,c,3,7,8,J,Q,2,3,3,1097
c,rr,r,c,4,6,7,8,K,2,2,0,5177
c,r,c,c,2,6,Q,Q,K,2,3,3,4685
c,r,c,c,2,8,9,J,A,1,1,0,2806
c,c,c,c,3,4,6,8,A,3,4,4,1188
c,c,c,c,3,3,7,Q,K,1,2,0,1660
c,r,rr,c,4,7,9,J,Q,1,2,0,3420
c,c,c,c,3,6,9,Q,Q,2,2,0,3521
c,r,c,c,2,3,5,7,8,1,2,0,817
c,r,r,c,3,3,5,5,Q,2,22,0,4191
c,r,c,c,7,8,9,9,K,1,2,0,3033
rr,c,r,r,5,T,J,Q,K,2,22,3,5862
rr,c,c,c,2,3,3,6,8,2,22,0,1614
c,r,c,c,3,4,4,5,T,2,22,0,1836
c,c,c,c,3,5,7,T,A,2,22,3,908
c,c,c,c,2,2,8,T,A,2,22,3,1477
rr,r,c,c,6,6,8,T,Q,2,3,3,2365
c,c,c,c,2,3,7,T,Q,1,2,0,448
c,r,r,r,2,2,3,3,T,2,22,3,4147
c,r,rr,r,4,5,6,T,K,2,22,3,5179
c,rr,c,r,2,4,7,T,K,1,2,0,2743
c,r,c,r,5,9,Q,K,K,1,2,0,4859
c,c,c,c,5,7,9,T,K,2,2,3,747
c,r,c,c,2,3,4,7,8,1,1,0,1676
c,c,c,c,3,5,8,8,9,1,1,0,2708
c,r,c,c,T,T,Q,A,A,2,2,0,4960
c,c,r,c,3,7,7,8,J,2,2,3,2595
c,c,c,c,4,7,8,9,T,1,1,0,1196
c,c,c,c,3,6,8,T,K,2,2,0,1231
c,c,c,c,5,8,9,T,A,3,3,3,1232
c,c,c,c,7,8,8,9,Q,3,3,3,2701
c,c,c,c,3,4,5,5,K,1,1,0,2092
c,c,c,c,2,9,9,T,A,2,3,4,3017
c,c,c,c,4,6,J,Q,A,2,2,3,1102
c,c,c,c,2,4,T,K,A,1,2,0,1192
c,c,c,c,2,7,9,T,Q,2,2,3,1608
c,c,c,rr,2,4,6,J,K,1,2,0,3857
c,c,c,c,2,4,J,A,A,1,2,0,4126
c,c,c,c,2,3,4,5,6,3,4,4,5854
c,c,c,c,2,T,J,Q,A,1,2,0,1109
c,c,c,c,2,6,7,7,J,2,3,3,2441
c,c,c,c,2,3,5,9,Q,2,2,0,1041
c,c,c,c,2,6,9,J,Q,2,22,3,1395
c,c,c,c,3,6,8,J,J,2,2,0,3291
