@RELATION SimpleBotHROM
@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
@ATTRIBUTE river_actions {c,r,rr}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_strength NUMERIC
@DATA
rr,c,r,r,5,5,6,Q,K,1,2,3,1.3076923076923077
rr,c,c,r,2,4,6,9,Q,2,2,0,0.9858934169278997
c,r,c,c,8,8,9,J,A,2,2,0,2.358974358974359
c,c,c,r,9,T,T,J,K,1,2,0,2.4603729603729603
c,c,c,c,5,6,6,K,A,2,3,3,1.3846153846153846
c,c,rr,rr,3,7,7,8,A,2,3,3,5.036021926389976
c,r,rr,r,5,9,9,J,Q,2,2,0,4.9
c,c,c,c,2,2,4,9,J,1,1,0,1.0545454545454545
c,c,c,c,2,5,6,8,8,1,2,0,1.5244755244755246
c,rr,c,c,6,8,J,A,A,2,22,0,2.9207459207459205
c,r,r,c,3,7,J,K,A,1,2,0,1.5381118881118883
c,r,c,c,6,8,T,J,K,2,2,0,1.2853146853146853
c,c,c,c,4,6,T,J,K,1,2,3,0.5141065830721003
c,rr,c,c,3,3,6,8,A,1,1,0,1.1531468531468532
c,r,r,c,8,Q,K,A,A,2,22,0,4.0
c,c,r,c,2,7,8,J,A,1,2,0,1.2234265734265735
c,c,r,r,2,4,7,J,Q,3,3,3,1.2716783216783216
c,c,c,c,3,4,7,T,K,1,2,0,0.9921630094043887
