@RELATION SimpleBotHROM
@ATTRIBUTE raised_preflop {never,sometimes,always}
@ATTRIBUTE raised_flop {never,sometimes,always}
@ATTRIBUTE raised_turn {never,sometimes,always}
@ATTRIBUTE raised_river {never,sometimes,always}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_strength NUMERIC
@DATA
always,never,always,sometimes,5,5,6,Q,K,1,2,3,524.4615384615385
always,never,never,sometimes,2,4,6,9,Q,2,2,0,254.36050156739813
never,sometimes,never,never,8,8,9,J,A,2,2,0,1307.4358974358975
never,never,never,sometimes,9,T,T,J,K,1,2,0,1359.2505827505827
never,never,never,never,5,6,6,K,A,2,3,3,591.0769230769231
never,never,always,sometimes,3,7,7,8,A,2,3,3,1789.025841816758
never,sometimes,sometimes,sometimes,5,9,9,J,Q,2,2,0,1780.2
never,never,never,never,2,2,4,9,J,1,1,0,305.23636363636365
never,never,never,never,2,5,6,8,8,1,2,0,712.1958041958042
never,sometimes,never,never,6,8,J,A,A,2,22,0,1594.5011655011654
never,sometimes,sometimes,never,3,7,J,K,A,1,2,0,724.0048951048951
never,sometimes,never,never,6,8,T,J,K,2,2,0,505.08251748251746
never,never,never,never,4,6,T,J,K,1,2,3,132.63949843260187
never,always,never,never,3,3,6,8,A,1,1,0,390.62517482517484
never,always,sometimes,never,8,Q,K,A,A,2,22,0,1728.0
never,never,always,never,2,7,8,J,A,1,2,0,451.48741258741256
never,never,sometimes,sometimes,2,4,7,J,Q,3,3,3,493.2734265734266
never,never,never,never,3,4,7,T,K,1,2,0,255.9780564263323
never,never,sometimes,never,6,7,7,9,J,2,2,3,651.6363636363636
never,never,never,never,4,4,6,J,A,1,2,3,452.09300699300695
never,never,never,never,2,4,5,5,6,1,2,3,513.5608391608391
never,never,never,never,2,4,4,8,Q,1,1,0,427.5664335664336
sometimes,sometimes,never,never,3,3,6,J,Q,2,22,3,1319.3473193473194
never,never,never,never,3,3,5,6,A,2,2,0,387.9
never,sometimes,sometimes,sometimes,2,9,Q,K,A,1,2,0,790.9230769230769
never,never,never,never,3,3,9,9,K,2,22,3,1274.0839160839162
never,never,never,never,6,7,9,A,A,2,3,3,1107.0433566433567
never,sometimes,never,never,4,7,9,Q,A,2,3,4,1857.6992952231794
never,never,never,never,3,4,9,9,A,2,22,3,783.9587412587413
never,always,never,never,2,7,8,T,J,1,2,0,616.209090909091
never,never,never,never,2,6,7,8,T,1,2,0,45.49373040752351
never,sometimes,always,never,7,9,9,T,K,2,2,0,790.3174825174825
never,never,always,never,4,6,8,K,A,2,2,0,590.1685314685315
always,never,never,never,3,7,J,K,A,1,1,0,1120.972027972028
never,never,sometimes,sometimes,3,6,T,Q,K,2,3,4,1869.4079874706342
always,sometimes,sometimes,never,5,6,6,6,A,2,3,3,1855.660140955364
always,sometimes,sometimes,never,3,4,8,T,K,3,3,3,904.472027972028
always,never,sometimes,never,6,7,T,Q,K,2,22,0,907.5
never,always,always,never,2,3,7,9,K,3,3,3,700.3867132867133
never,always,sometimes,never,2,3,8,T,Q,2,3,3,707.3510489510489
always,always,always,sometimes,3,4,T,J,K,2,2,0,1120.972027972028
never,never,never,never,3,4,7,8,J,2,2,0,90.58307210031347
never,always,never,never,2,4,5,7,J,2,2,0,197.7460815047022
never,never,never,never,5,6,6,9,J,2,2,0,1181.1748251748252
always,always,never,never,4,6,8,8,J,1,2,3,1528.988344988345
never,sometimes,never,never,4,7,9,T,T,2,2,0,840.5818181818182
never,always,always,never,2,4,5,T,J,1,1,0,1414.6386946386947
never,always,sometimes,never,6,6,T,J,J,2,2,3,1418.2121212121212
never,never,sometimes,never,2,7,8,K,A,2,22,0,231.71473354231975
never,always,always,never,2,T,J,J,Q,1,2,0,1483.1293706293707
never,always,never,sometimes,3,3,9,T,Q,2,2,0,1475.9825174825176
never,sometimes,sometimes,never,2,3,3,4,T,1,2,0,371.85174825174823
never,never,never,never,5,6,9,T,K,1,2,0,249.10344827586206
never,never,sometimes,never,3,5,6,J,Q,2,2,3,257.3934169278997
never,sometimes,never,never,3,4,5,T,K,2,22,0,839.3706293706293
never,always,always,never,5,5,7,J,Q,1,2,3,1386.051282051282
always,always,never,sometimes,2,7,7,J,A,1,2,0,1458.1153846153848
never,always,sometimes,sometimes,6,8,8,Q,K,2,2,3,1530.1794871794873
never,never,always,never,2,3,3,5,T,1,2,0,390.62517482517484
never,always,never,never,3,3,T,J,Q,2,3,3,1273.488344988345
never,never,always,never,3,3,4,4,5,2,2,0,1143.058275058275
never,never,never,never,3,7,8,J,Q,2,3,3,221.80721003134795
never,sometimes,sometimes,never,4,6,7,8,K,2,2,0,1654.8356643356644
never,always,never,never,2,6,Q,Q,K,2,3,3,1450.9685314685314
never,always,never,never,2,8,9,J,A,1,1,0,721.2797202797203
never,never,never,never,3,4,6,8,A,3,4,4,240.20689655172413
never,never,never,never,3,3,7,Q,K,1,2,0,374.27412587412584
never,sometimes,sometimes,never,4,7,9,J,Q,1,2,0,907.1972027972027
never,never,never,never,3,6,9,Q,Q,2,2,0,937.7797202797203
never,always,never,never,2,3,5,7,8,1,2,0,165.19278996865205
never,sometimes,always,never,3,3,5,5,Q,2,22,0,1156.7564102564102
never,always,never,never,7,8,9,9,K,1,2,0,790.0146853146853
always,never,always,sometimes,5,T,J,Q,K,2,22,3,1786.0
