@RELATION SimpleBotHROM
@ATTRIBUTE raised_preflop NUMERIC
@ATTRIBUTE raised_flop NUMERIC
@ATTRIBUTE raised_turn NUMERIC
@ATTRIBUTE raised_river NUMERIC
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_strength NUMERIC
@DATA
2,0,1,1,5,5,6,Q,K,1,2,3,524.4615384615385
2,0,0,1,2,4,6,9,Q,2,2,0,254.36050156739813
0,1,0,0,8,8,9,J,A,2,2,0,1307.4358974358975
0,0,0,1,9,T,T,J,K,1,2,0,1359.2505827505827
0,0,0,0,5,6,6,K,A,2,3,3,591.0769230769231
0,0,2,2,3,7,7,8,A,2,3,3,1789.025841816758
0,1,2,1,5,9,9,J,Q,2,2,0,1780.2
0,0,0,0,2,2,4,9,J,1,1,0,305.23636363636365
0,0,0,0,2,5,6,8,8,1,2,0,712.1958041958042
0,2,0,0,6,8,J,A,A,2,22,0,1594.5011655011654
0,1,1,0,3,7,J,K,A,1,2,0,724.0048951048951
0,1,0,0,6,8,T,J,K,2,2,0,505.08251748251746
0,0,0,0,4,6,T,J,K,1,2,3,132.63949843260187
0,2,0,0,3,3,6,8,A,1,1,0,390.62517482517484
0,1,1,0,8,Q,K,A,A,2,22,0,1728.0
0,0,1,0,2,7,8,J,A,1,2,0,451.48741258741256
0,0,1,1,2,4,7,J,Q,3,3,3,493.2734265734266
0,0,0,0,3,4,7,T,K,1,2,0,255.9780564263323
0,0,1,0,6,7,7,9,J,2,2,3,651.6363636363636
0,0,0,0,4,4,6,J,A,1,2,3,452.09300699300695
0,0,0,0,2,4,5,5,6,1,2,3,513.5608391608391
0,0,0,0,2,4,4,8,Q,1,1,0,427.5664335664336
1,1,0,0,3,3,6,J,Q,2,22,3,1319.3473193473194
0,0,0,0,3,3,5,6,A,2,2,0,387.9
0,1,1,1,2,9,Q,K,A,1,2,0,790.9230769230769
0,0,0,0,3,3,9,9,K,2,22,3,1274.0839160839162
0,0,0,0,6,7,9,A,A,2,3,3,1107.0433566433567
0,2,0,0,4,7,9,Q,A,2,3,4,1857.6992952231794
0,0,0,0,3,4,9,9,A,2,22,3,783.9587412587413
0,2,0,0,2,7,8,T,J,1,2,0,616.209090909091
0,0,0,0,2,6,7,8,T,1,2,0,45.49373040752351
0,1,1,0,7,9,9,T,K,2,2,0,790.3174825174825
0,0,2,0,4,6,8,K,A,2,2,0,590.1685314685315
2,0,0,0,3,7,J,K,A,1,1,0,1120.972027972028
0,0,2,1,3,6,T,Q,K,2,3,4,1869.4079874706342
2,1,1,0,5,6,6,6,A,2,3,3,1855.660140955364
2,1,2,0,3,4,8,T,K,3,3,3,904.472027972028
2,0,1,0,6,7,T,Q,K,2,22,0,907.5
0,1,2,0,2,3,7,9,K,3,3,3,700.3867132867133
0,1,1,0,2,3,8,T,Q,2,3,3,707.3510489510489
2,1,2,1,3,4,T,J,K,2,2,0,1120.972027972028
0,0,0,0,3,4,7,8,J,2,2,0,90.58307210031347
0,2,0,0,2,4,5,7,J,2,2,0,197.7460815047022
0,0,0,0,5,6,6,9,J,2,2,0,1181.1748251748252
2,1,0,0,4,6,8,8,J,1,2,3,1528.988344988345
0,1,0,0,4,7,9,T,T,2,2,0,840.5818181818182
0,2,1,0,2,4,5,T,J,1,1,0,1414.6386946386947
0,1,1,0,6,6,T,J,J,2,2,3,1418.2121212121212
0,0,1,0,2,7,8,K,A,2,22,0,231.71473354231975
0,1,2,0,2,T,J,J,Q,1,2,0,1483.1293706293707
0,1,0,2,3,3,9,T,Q,2,2,0,1475.9825174825176
0,1,1,0,2,3,3,4,T,1,2,0,371.85174825174823
0,0,0,0,5,6,9,T,K,1,2,0,249.10344827586206
0,0,1,0,3,5,6,J,Q,2,2,3,257.3934169278997
0,2,0,0,3,4,5,T,K,2,22,0,839.3706293706293
0,1,1,0,5,5,7,J,Q,1,2,3,1386.051282051282
1,1,0,1,2,7,7,J,A,1,2,0,1458.1153846153848
0,1,1,1,6,8,8,Q,K,2,2,3,1530.1794871794873
0,0,1,0,2,3,3,5,T,1,2,0,390.62517482517484
0,1,0,0,3,3,T,J,Q,2,3,3,1273.488344988345
0,0,1,0,3,3,4,4,5,2,2,0,1143.058275058275
0,0,0,0,3,7,8,J,Q,2,3,3,221.80721003134795
0,2,1,0,4,6,7,8,K,2,2,0,1654.8356643356644
0,1,0,0,2,6,Q,Q,K,2,3,3,1450.9685314685314
0,1,0,0,2,8,9,J,A,1,1,0,721.2797202797203
0,0,0,0,3,4,6,8,A,3,4,4,240.20689655172413
0,0,0,0,3,3,7,Q,K,1,2,0,374.27412587412584
0,1,2,0,4,7,9,J,Q,1,2,0,907.1972027972027
0,0,0,0,3,6,9,Q,Q,2,2,0,937.7797202797203
0,1,0,0,2,3,5,7,8,1,2,0,165.19278996865205
0,1,1,0,3,3,5,5,Q,2,22,0,1156.7564102564102
0,1,0,0,7,8,9,9,K,1,2,0,790.0146853146853
2,0,1,1,5,T,J,Q,K,2,22,3,1786.0
2,0,0,0,2,3,3,6,8,2,22,0,360.3454545454546
0,1,0,0,3,4,4,5,T,2,22,0,427.5664335664336
0,0,0,0,3,5,7,T,A,2,22,3,183.5924764890282
0,0,0,0,2,2,8,T,A,2,22,3,318.8622377622378
2,1,0,0,6,6,8,T,Q,2,3,3,587.7461538461539
0,0,0,0,2,3,7,T,Q,1,2,0,90.58307210031347
0,1,1,1,2,2,3,3,T,2,22,3,1130.551282051282
0,1,2,1,4,5,6,T,K,2,22,3,1655.0524475524476
0,2,0,1,2,4,7,T,K,1,2,0,702.2034965034966
0,1,0,1,5,9,Q,K,K,1,2,0,1554.597902097902
0,0,0,0,5,7,9,T,K,2,2,3,151.03918495297805
0,1,0,0,2,3,4,7,8,1,1,0,379.1188811188811
0,0,0,0,3,5,8,8,9,1,1,0,691.6055944055944
0,1,0,0,T,T,Q,A,A,2,2,0,1614.7505827505827
0,0,1,0,3,7,7,8,J,2,2,3,657.3895104895105
0,0,0,0,4,7,8,9,T,1,1,0,241.8244514106583
0,0,0,0,3,6,8,T,K,2,2,0,248.90125391849529
0,0,0,0,5,8,9,T,A,3,3,3,249.10344827586206
0,0,0,0,7,8,8,9,Q,3,3,3,689.486013986014
0,0,0,0,3,4,5,5,K,1,1,0,505.08251748251746
0,0,0,0,2,9,9,T,A,2,3,4,785.16993006993
0,0,0,0,4,6,J,Q,A,2,2,3,222.8181818181818
0,0,0,0,2,4,T,K,A,1,2,0,241.0156739811912
0,0,0,0,2,7,9,T,Q,2,2,3,358.5286713286713
0,0,0,2,2,4,6,J,K,1,2,0,1039.5195804195805
0,0,0,0,2,4,J,A,A,1,2,0,1120.972027972028
0,0,0,0,2,3,4,5,6,3,4,4,1739.6
0,0,0,0,2,T,J,Q,A,1,2,0,224.2335423197492
0,0,0,0,2,6,7,7,J,2,3,3,610.7587412587413
0,0,0,0,2,3,5,9,Q,2,2,0,210.4843260188088
0,0,0,0,2,6,9,J,Q,2,22,3,294.0328671328671
0,0,0,0,3,6,8,J,J,2,2,0,868.1363636363636
0,0,0,0,3,8,9,9,Q,2,2,0,755.4958041958041
0,0,0,0,3,6,6,7,8,2,2,0,573.5146853146853
0,0,0,0,5,7,7,8,K,2,22,0,638.3132867132867
0,1,1,0,2,T,Q,Q,A,2,2,0,990.4664335664336
0,0,0,0,5,5,6,T,Q,2,2,3,491.1538461538462
