@RELATION SimpleBotHROM
@ATTRIBUTE raised_preflop NUMERIC
@ATTRIBUTE called_preflop NUMERIC
@ATTRIBUTE raised_flop NUMERIC
@ATTRIBUTE called_flop NUMERIC
@ATTRIBUTE raised_turn NUMERIC
@ATTRIBUTE called_turn NUMERIC
@ATTRIBUTE raised_river NUMERIC
@ATTRIBUTE called_river NUMERIC
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE other_players_hand_rank NUMERIC
@ATTRIBUTE simplebots_hand_rank {higher,lower}
@DATA
2,0,0,1,1,0,1,1,5,5,6,Q,K,1,2,3,4674,lower
2,0,0,1,0,1,1,1,2,4,6,9,Q,2,2,0,1879,lower
0,1,1,1,0,1,0,1,8,8,9,J,A,2,2,0,4818,lower
0,2,0,1,0,1,1,1,9,T,T,J,K,1,2,0,4630,lower
0,1,0,2,0,1,0,1,5,6,6,K,A,2,3,3,4917,lower
0,1,0,2,2,0,2,1,3,7,7,8,A,2,3,3,4367,higher
0,1,1,1,2,1,1,1,5,9,9,J,Q,2,2,0,4719,higher
0,2,0,1,0,1,0,1,2,2,4,9,J,1,1,0,1360,higher
0,1,0,1,0,1,0,1,2,5,6,8,8,1,2,0,2749,higher
0,1,2,1,0,2,0,1,6,8,J,A,A,2,22,0,5841,lower
0,1,1,1,1,1,0,1,3,7,J,K,A,1,2,0,3904,lower
0,2,1,1,0,1,0,1,6,8,T,J,K,2,2,0,5444,lower
0,1,0,1,0,1,0,1,4,6,T,J,K,1,2,3,3641,lower
0,1,2,0,0,1,0,1,3,3,6,8,A,1,1,0,4653,lower
0,2,1,0,1,1,0,1,8,Q,K,A,A,2,22,0,4983,higher
0,2,0,1,1,0,0,1,2,7,8,J,A,1,2,0,3464,lower
0,1,0,1,1,1,1,1,2,4,7,J,Q,3,3,3,4563,lower
0,2,0,1,0,1,0,1,3,4,7,T,K,1,2,0,2743,lower
0,1,0,1,1,1,0,1,6,7,7,9,J,2,2,3,5359,lower
0,1,0,1,0,1,0,1,4,4,6,J,A,1,2,3,1926,lower
0,1,0,1,0,1,0,1,2,4,5,5,6,1,2,3,1981,higher
0,2,0,1,0,1,0,1,2,4,4,8,Q,1,1,0,1923,lower
1,1,1,1,0,1,0,2,3,3,6,J,Q,2,22,3,1661,higher
0,1,0,1,0,1,0,1,3,3,5,6,A,2,2,0,1701,higher
0,1,1,1,1,1,1,1,2,9,Q,K,A,1,2,0,4134,lower
0,1,0,1,0,1,0,1,3,3,9,9,K,2,22,3,4829,lower
0,2,0,1,0,1,0,1,6,7,9,A,A,2,3,3,4063,higher
0,2,2,1,0,1,0,1,4,7,9,Q,A,2,3,4,3677,higher
0,1,0,1,0,1,0,1,3,4,9,9,A,2,22,3,7391,lower
0,1,2,0,0,1,0,1,2,7,8,T,J,1,2,0,2532,lower
0,1,0,1,0,1,0,1,2,6,7,8,T,1,2,0,2523,lower
0,1,1,1,1,0,0,1,7,9,9,T,K,2,2,0,4531,lower
0,1,0,1,2,0,0,1,4,6,8,K,A,2,2,0,5856,lower
2,0,0,1,0,1,0,1,3,7,J,K,A,1,1,0,3905,higher
0,1,0,2,2,1,1,1,3,6,T,Q,K,2,3,4,4860,higher
2,0,1,1,1,1,0,1,5,6,6,6,A,2,3,3,5320,higher
2,0,1,1,2,1,0,1,3,4,8,T,K,3,3,3,7130,lower
2,0,0,1,1,1,0,1,6,7,T,Q,K,2,22,0,4696,lower
0,1,1,0,2,0,0,1,2,3,7,9,K,3,3,3,3888,lower
0,1,1,0,1,1,0,1,2,3,8,T,Q,2,3,3,2706,higher
2,0,1,0,2,0,1,1,3,4,T,J,K,2,2,0,3813,higher
0,1,0,1,0,1,0,1,3,4,7,8,J,2,2,0,985,lower
0,2,2,0,0,1,0,1,2,4,5,7,J,2,2,0,2457,lower
0,1,0,1,0,1,0,1,5,6,6,9,J,2,2,0,4684,lower
2,0,1,0,0,1,0,1,4,6,8,8,J,1,2,3,2796,higher
0,1,1,1,0,1,0,1,4,7,9,T,T,2,2,0,3184,higher
0,2,2,0,1,0,0,1,2,4,5,T,J,1,1,0,3233,higher
0,1,1,0,1,1,0,1,6,6,T,J,J,2,2,3,7252,lower
0,2,0,1,1,1,0,1,2,7,8,K,A,2,22,0,4133,lower
0,2,1,0,2,0,0,1,2,T,J,J,Q,1,2,0,3421,higher
0,2,1,0,0,1,2,1,3,3,9,T,Q,2,2,0,4883,lower
0,1,1,1,1,1,0,1,2,3,3,4,T,1,2,0,4650,lower
0,1,0,1,0,1,0,1,5,6,9,T,K,1,2,0,3182,lower
0,2,0,1,1,1,0,1,3,5,6,J,Q,2,2,3,3360,lower
0,2,2,1,0,1,0,1,3,4,5,T,K,2,22,0,2301,higher
0,1,1,0,1,0,0,1,5,5,7,J,Q,1,2,3,5237,lower
1,0,1,0,0,2,1,1,2,7,7,J,A,1,2,0,4598,higher
0,2,1,0,1,1,1,1,6,8,8,Q,K,2,2,3,4817,higher
0,1,0,1,1,0,0,1,2,3,3,5,T,1,2,0,4650,lower
0,1,1,0,0,1,0,1,3,3,T,J,Q,2,3,3,5861,lower
0,2,0,1,1,0,0,1,3,3,4,4,5,2,2,0,4169,lower
0,2,0,1,0,1,0,1,3,7,8,J,Q,2,3,3,3368,lower
0,1,2,1,1,1,0,1,4,6,7,8,K,2,2,0,2303,higher
0,1,1,0,0,1,0,1,2,6,Q,Q,K,2,3,3,3695,higher
0,1,1,0,0,1,0,1,2,8,9,J,A,1,1,0,3474,lower
0,2,0,1,0,1,0,1,3,4,6,8,A,3,4,4,1712,lower
0,1,0,1,0,1,0,1,3,3,7,Q,K,1,2,0,1716,lower
0,2,1,1,2,1,0,1,4,7,9,J,Q,1,2,0,3026,higher
0,1,0,1,0,1,0,1,3,6,9,Q,Q,2,2,0,3669,lower
0,2,1,0,0,1,0,1,2,3,5,7,8,1,2,0,2425,lower
0,1,1,1,1,0,0,1,3,3,5,5,Q,2,22,0,4670,lower
0,1,1,0,0,1,0,1,7,8,9,9,K,1,2,0,4827,lower
2,0,0,1,1,0,1,1,5,T,J,Q,K,2,22,3,3861,higher
2,0,0,1,0,1,0,1,2,3,3,6,8,2,22,0,1516,higher
0,2,1,0,0,1,0,1,3,4,4,5,T,2,22,0,1824,higher
0,1,0,1,0,1,0,1,3,5,7,T,A,2,22,3,3235,lower
0,1,0,1,0,1,0,1,2,2,8,T,A,2,22,3,4521,lower
2,0,1,1,0,1,0,1,6,6,8,T,Q,2,3,3,6644,lower
0,1,0,1,0,1,0,1,2,3,7,T,Q,1,2,0,1705,lower
0,1,1,0,1,1,1,1,2,2,3,3,T,2,22,3,4147,higher
0,1,1,1,2,0,1,1,4,5,6,T,K,2,22,3,3849,higher
0,1,2,1,0,1,1,1,2,4,7,T,K,1,2,0,1872,higher
0,1,1,1,0,1,1,1,5,9,Q,K,K,1,2,0,3852,higher
0,1,0,1,0,1,0,1,5,7,9,T,K,2,2,3,2084,lower
0,1,1,1,0,1,0,2,2,3,4,7,8,1,1,0,4328,lower
0,1,0,1,0,1,0,1,3,5,8,8,9,1,1,0,2622,higher
0,1,1,0,0,1,0,1,T,T,Q,A,A,2,2,0,4981,lower
0,1,0,1,1,1,0,1,3,7,7,8,J,2,2,3,4695,lower
0,1,0,1,0,1,0,1,4,7,8,9,T,1,1,0,1552,lower
0,1,0,1,0,1,0,1,3,6,8,T,K,2,2,0,2742,lower
0,1,0,1,0,1,0,1,5,8,9,T,A,3,3,3,2129,lower
0,1,0,1,0,1,0,1,7,8,8,9,Q,3,3,3,6317,lower
0,1,0,1,0,1,0,1,3,4,5,5,K,1,1,0,4777,lower
0,1,0,1,0,1,0,1,2,9,9,T,A,2,3,4,4532,lower
0,1,0,1,0,1,0,1,4,6,J,Q,A,2,2,3,3682,lower
0,1,0,1,0,1,0,1,2,4,T,K,A,1,2,0,3915,lower
0,1,0,1,0,1,0,1,2,7,9,T,Q,2,2,3,2927,lower
0,1,0,1,0,1,2,0,2,4,6,J,K,1,2,0,5854,lower
0,1,0,1,0,1,0,1,2,4,J,A,A,1,2,0,4014,higher
0,1,0,1,0,1,0,1,2,3,4,5,6,3,4,4,5854,higher
