@RELATION SimpleHROppModel
@ATTRIBUTE times_raised NUMERIC
@ATTRIBUTE times_called NUMERIC
@ATTRIBUTE hand_rank NUMERIC
@DATA
3,1,4730
0,4,1815
0,4,2334
4,0,3902
1,3,4146
0,4,2730
2,2,4563
1,3,1651
1,3,730
0,4,3887
1,3,2137
3,1,7233
3,1,4659
2,2,2275
3,1,7269
2,2,943
2,2,4783
1,3,4653
2,2,4452
4,0,3904
2,2,3640
1,3,4608
1,3,3695
1,3,4971
0,4,421
1,3,4576
1,3,4587
2,2,5860
1,3,3229
3,1,4818
0,4,1878
0,4,3222
0,4,2375
1,3,1650
3,1,5123
0,4,1104
2,2,2816
1,3,2034
3,1,4826
3,1,4923
2,2,4961
3,1,4661
0,4,1986
0,4,720
2,2,3843
0,4,1578
3,1,6966
1,3,5378
3,1,3254
1,3,3852
3,1,4669
0,4,1109
3,1,4959
1,3,3660
2,2,7127
2,2,3311
1,3,5715
1,3,733
1,3,2375
1,3,3455
0,4,1162
1,3,5121
0,4,1111
3,1,4332
0,4,2594
0,4,437
0,4,235
0,4,1221
3,1,5830
0,4,4542
0,4,4232
3,1,5456
1,3,3815
0,4,645
3,1,7173
1,3,2679
3,1,5858
1,3,2128
3,1,4993
0,4,1247
2,2,3252
3,1,4980
