@RELATION SimpleHROppModel
@ATTRIBUTE times_raised_preflop NUMERIC
@ATTRIBUTE times_called_preflop NUMERIC
@ATTRIBUTE times_raised_flop NUMERIC
@ATTRIBUTE times_called_flop NUMERIC
@ATTRIBUTE times_raised_turn NUMERIC
@ATTRIBUTE times_called_turn NUMERIC
@ATTRIBUTE times_raised_river NUMERIC
@ATTRIBUTE times_called_river NUMERIC
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_1_suit {h,d,s,c}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_suit {h,d,s,c}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_suit {h,d,s,c}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_suit {h,d,s,c}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_suit {h,d,s,c}
@ATTRIBUTE hand_rank NUMERIC
@DATA
0,1,0,1,0,1,1,0,4,c,4,h,A,s,8,c,5,c,5856
0,1,0,2,3,0,3,0,T,h,4,c,6,h,5,s,J,c,5228
1,0,1,0,1,1,0,1,Q,c,6,c,2,h,9,d,9,s,4530
0,1,1,1,1,2,0,2,Q,d,6,h,J,h,2,d,T,s,1112
0,1,0,1,0,1,0,1,T,d,A,d,T,h,A,c,8,c,4957
0,1,0,1,0,1,0,1,5,h,J,s,9,c,8,c,5,s,2055
0,1,1,0,1,1,0,1,3,d,3,c,T,s,6,s,A,d,4169
0,1,2,1,2,0,1,0,5,s,6,c,T,h,K,d,K,h,4840
0,1,1,1,0,1,0,1,J,h,3,c,9,s,K,h,7,s,1871
0,1,0,1,1,1,0,1,5,s,6,c,9,h,6,s,Q,d,4233
0,1,0,1,0,1,0,1,3,h,Q,s,K,s,6,d,K,d,3831
0,1,0,1,0,1,0,1,Q,h,9,h,3,d,6,c,Q,d,3669
0,1,0,1,0,1,0,1,K,s,J,s,9,d,2,c,4,h,1221
1,0,1,1,2,1,1,0,4,c,7,d,T,s,5,c,2,d,3546
0,1,1,0,0,1,1,1,J,h,8,h,9,d,4,h,3,s,5860
0,1,2,0,1,0,0,1,4,h,A,c,A,d,5,h,9,s,4913
0,1,0,1,0,1,2,0,7,h,Q,c,6,h,3,h,5,c,5857
1,0,1,0,1,0,0,1,7,s,7,d,9,d,4,s,7,c,7208
0,1,0,1,0,1,0,1,9,h,7,h,4,d,6,s,T,d,1195
0,1,1,0,0,1,1,1,9,d,4,d,6,h,J,c,A,d,4026
2,0,1,0,0,1,0,1,5,h,4,c,6,d,8,h,2,s,938
0,2,0,1,0,1,0,1,A,h,J,d,T,c,5,s,5,h,4411
0,1,1,0,0,1,0,1,A,d,4,h,9,c,J,d,8,d,4028
0,1,1,1,1,0,1,1,Q,d,8,c,J,c,5,c,3,d,3579
0,1,1,0,0,2,0,1,2,h,A,s,3,c,7,s,7,h,4279
0,1,3,0,1,0,1,0,Q,d,3,d,2,d,Q,s,3,s,6856
0,1,1,2,1,1,3,0,3,c,8,s,4,d,Q,h,A,c,4055
1,0,2,0,1,1,1,0,T,h,2,s,8,c,6,h,6,s,4683
0,1,1,0,0,1,1,2,T,h,K,d,4,h,Q,d,2,s,3641
0,1,0,1,2,0,3,0,J,s,T,h,7,s,5,c,2,h,3374
0,1,0,1,0,1,0,1,3,h,2,s,7,h,4,h,A,h,5853
0,1,2,0,1,0,1,0,5,s,3,d,J,d,A,c,J,s,4965
0,1,1,1,0,1,1,2,T,s,9,h,2,s,9,d,K,h,3034
0,2,1,0,0,1,0,1,J,h,5,s,K,h,4,s,A,s,3475
0,1,2,0,1,1,1,1,Q,d,9,c,J,s,4,s,3,h,2934
0,1,1,1,2,0,2,0,5,s,T,c,Q,h,T,s,8,d,4729
1,0,2,1,2,1,1,0,4,s,8,c,Q,h,5,h,A,c,3464
